Species	Folder Genomezoo	Comment	5 letter code
Solanum tuberosum	Archaeplastida		SOLTU.fa
Sorghum bicolor	Archaeplastida		SORBI.fa
Sphagnum fallax	Archaeplastida		SPHFA.fa
Spirodela polyrhiza	Archaeplastida		SPIPO.fa
Spirogyra pratensis	tr/Archaeplastida		SPIPRtrTI.fa
Tarenaya hassleriana	Archaeplastida		TARHA.fa
Thellungiella halophila	Archaeplastida		THEHA.fa
Thellungiella parvula	Archaeplastida		THEPA.fa
Theobroma cacao	Archaeplastida		THECA.fa
Triticum aestivum	Archaeplastida		TRIAE.fa
Triticum urartu	Archaeplastida		TRIUR.fa
Utricularia gibba	Archaeplastida		UTRGI.fa
Vitis vinifera	Archaeplastida		VITVI.fa
Volvox carteri	Archaeplastida		VOLCA.fa
Zea mays	Archaeplastida		ZEAMA.fa
Zostera marina	Archaeplastida		ZOSMA.fa
Spirogyra sp.	Archaeplastida		SPISP.fa
Ginkgo biloba	Archaeplastida		GINBI.fa
Gracilariopsis chorda	Archaeplastida		GRACH.fa
Porphyridium purpureum	Archaeplastida		PORPU.fa
Cyanidium caldarium	Archaeplastida		CYACA.fa
Galdieria phlegrea	Archaeplastida		GALPH.fa
Prasinoderma coloniale	Archaeplastida		PRACO.fa
Anthoceros agrestis	Archaeplastida		ANTAG.fa
Spirogloea muscicola	Archaeplastida		SPIMU.fa
Zygnema circumcarinatum	Archaeplastida		ZYGCI.fasta
Mesostigma viride	Archaeplastida		MESVINI.fa
Ulva mutabilis	Archaeplastida		ULVMU.fa
Goniomonas avonlea	Archaeplastida		GONAV.fa
Guillardia theta	Archaeplastida		GUITH.fa
Mesotaenium endlicherianum	Archaeplastida		MESEN.fasta
Takakia lepidozioides	Archaeplastida		TAKLE.fa
