GINBI;Archaeplastida;Acrogymnospermae;Coniferophyta;Ginkgoales;Ginkgoaceae;Ginkgo biloba;3311
GLYMA;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Glycine max;3847
GONAV;Cryptophyta;Cryptophyceae;0;0;0;Goniomonas avonlea;1255295
GONPE;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Gonium pectorale;33097
GOSRA;Archaeplastida;eudicots;rosids;Malvales;Malvaceae;Gossypium raimondii;29730
GRACH;Archaeplastida;Rhodophyta;0;Gracilariales;Gracilariaceae;Gracilariopsis chorda;448386
GUITH;Cryptophyta;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Guillardia theta;55529
HORVU;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Hordeum vulgare;4513
JATCU;Archaeplastida;eudicots;rosids;Malpighiales;Euphorbiaceae;Jatropha curcas;180498
KALLA;Archaeplastida;eudicots;stem rosids;Saxifragales;Crassulaceae;Kalanchoe laxiflora;80907
KLEFL;Archaeplastida;Streptophyta KCM grade;Klebsormidiophyceae;Klebsormidiales;Klebsormidiaceae;Klebsormidium flaccidum;105231
LEAAL;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Leavenworthia alabamica;310722
LINUS;Archaeplastida;eudicots;rosids;Malpighiales;Linaceae;Linum usitatissimum;4006
LOTJA;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Lotus japonicus;34305
MALDO;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Malus domestica;3750
MANES;Archaeplastida;eudicots;rosids;Malpighiales;Euphorbiaceae;Manihot esculenta;3983
MARPO;Archaeplastida;Marchantiophyta;Marchantiopsida;Marchantiales;Marchantiaceae;Marchantia polymorpha;3197
MEDTR;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Medicago truncatula;3880
MESENsta;Archaeplastida;Streptophyta ZCC grade;Zygnemophyceae;Zygnematales;Mesotaeniaceae;Mesotaenium endlicherianum;184485
MESVINI;Archaeplastida;Streptophyta KCM grade;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;Mesostigma viride;41882
MICMAtr;Archaeplastida;Moniliformopses;Polypodiidae;Polypodiales;Dennstaedtiaceae;Microlepia marginata;749682
MICPUCC;Archaeplastida;Chlorophyta;prasinophytes;Mamiellales;Mamiellaceae;Micromonas pusilla CCMP1545;564608
MICPURC;Archaeplastida;Chlorophyta;prasinophytes;Mamiellales;Mamiellaceae;Micromonas sp. RCC299;296587
MIMGU;Archaeplastida;eudicots;asterids;Lamiales;Phrymaceae;Mimulus guttatus;4155
MUSAC;Archaeplastida;Liliopsida;commelinids;Zingiberales;Musaceae;Musa acuminata;4641
MUSBA;Archaeplastida;Liliopsida;commelinids;Zingiberales;Musaceae;Musa balbisiana;52838
NELNU;Archaeplastida;eudicots;stem_eudicots;Proteales;Nelumbonaceae;Nelumbo nucifera;4432
NICBE;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Nicotiana benthamiana;4100
NITHYtr;Archaeplastida;Streptophyta ZCC grade;Charophyceae;Charales;Characeae;Nitella hyalina;181804
ORYSAIN;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Oryza sativa (spp. indica);39946
ORYSAJA;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Oryza sativa (spp. japonica);39947
OSTLU;Archaeplastida;Chlorophyta;prasinophytes;Mamiellales;Bathycoccaceae;Ostreococcus lucimarinus;242159
OSTSP;Archaeplastida;Chlorophyta;prasinophytes;Mamiellales;Bathycoccaceae;Ostreococcus sp. RCC809;385169
OSTTA;Archaeplastida;Chlorophyta;Prasinophyta;Mamiellales;Bathycoccaceae;Ostreococcus tauri;0
PANVI;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Panicum virgatum;38727
PENMA;Archaeplastida;Streptophyta ZCC grade;Zygnemophyceae;Desmidiales;Peniaceae;Penium margaritaceum;102169
PENMA_5l;Archaeplastida;Streptophyta ZCC grade;Zygnemophyceae;Desmidiales;Peniaceae;Penium margaritaceum;102169
PHAEQ;Archaeplastida;Liliopsida;-;Asparagales;Orchidaceae;Phalaenopsis equestris;78828
PHAVU;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Phaseolus vulgaris;3885
