CITLA;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Citrullus lanatus;228923
CUCME;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Cucumis melo;228924
CUCSA;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Cucumis sativus;228925
FRAVE;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Fragaria vesca;228926
GLYMA;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Glycine max;228927
JATCU;Archaeplastida;eudicots;rosids;Malpighiales;Euphorbiaceae;Jatropha curcas;228928
LINUS;Archaeplastida;eudicots;rosids;Malpighiales;Linaceae;Brassicaceae;228929
LOTJA;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Lotus japonicus;228930
MALDO;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Malus domestica;228931
MANES;Archaeplastida;eudicots;rosids;Malpighiales;Solanacea;Manihot esculenta;228932
MEDTR;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Medicago truncatula;228933
PHAVU;Archaeplastida;eudicots;rosids;Fabales;Volyocaceae;Solanacea;228934
POPTR;Archaeplastida;eudicots;rosids;Malpighiales;Salicaceae;Populus trichocarpa;228935
PRUMU;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Prunus mume;228936
PRUPE;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Prunus persica;228937
PYRBR;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Pyrus bretschneideri;228938
PYRCO;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Pyrus communis;228939
RICCO;Archaeplastida;eudicots;rosids;Malpighiales;Euphorbiaceae;Ricinus communis;228940
AQUCO;Archaeplastida;eudicots;stem_eudicots;Ranunculales;Ranunculaceae;Aquilegia coerulea;228941
NELNU;Archaeplastida;eudicots;stem_eudicots;Proteales;Nelumbonaceae;Nelumbo nucifera;228942
KALLA;Archaeplastida;eudicots;stem rosids;Saxifragales;Crassulaceae;Kalanchoe laxiflora;228943
AMAHY;Archaeplastida;eudicots;stem rosids;Caryophyllales;Amaranthaceae;Amaranthus hypochondriacus;228944
ASPNI;Fungi;Ascomycota;saccharomyceta;Eurotiales;Aspergillaceae;Aspergillus nidulans;228945
BATDE;Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Volyocaceae;Solanacea;228946
BOTCI;Fungi;Ascomycota;saccharomyceta;Helotiales;Sclerotiniaceae;Botrytis cinerea;228947
BOTCIT4;Fungi;Ascomycota;saccharomyceta;Helotiales;Sclerotiniaceae;Botrytis cinerea;228948
BOTCIVA;Fungi;Ascomycota;saccharomyceta;Helotiales;Sclerotiniaceae;Botrytis cinerea;228949
COPCI;Fungi;Basidiomycota;Agaricomycotina;Agaricales;Psathyrellaceae;Coprinopsis cinerea;228950
CRYNE;Fungi;Basidiomycota;Agaricomycotina;Tremellales;Tremellaceae;Cryptococcus neoformans var. grubii H99;228951
ENCCU;Fungi;Microsporidia;-;Apansporoblastina;Unikaryonidae;Encephalitozoon cuniculi;228952
LACBI;Fungi;Basidiomycota;Agaricomycotina;Agaricales;Volyocaceae;Solanacea;228953
MAGGR;Fungi;Ascomycota;saccharomyceta;Magnaporthales;Magnaporthaceae;Magnaporthe grisea;228954
MUCCI;Fungi;Mucoromycota;Mucoromycotina;Mucorales;Volyocaceae;Mucor circinelloides;228955
NEUCR;Fungi;Ascomycota;saccharomyceta;Sordariales;Sordariaceae;Neurospora crassa;228956
PHACH;Fungi;Basidiomycota;Agaricomycotina;Polyporales;Phanerochaetaceae;Phanerochaete chrysosporium;228957
PHYBL;Fungi;Mucoromycota;Mucoromycotina;Mucorales;Phycomycetaceae;Phycomyces blakesleeanus;228958
PICST;Fungi;Ascomycota;saccharomyceta;Saccharomycetales;Debaryomycetaceae;Scheffersomyces stipitis;228959
RHIIR;Fungi;Mucoromycota;Glomeromycotina;Glomerales;Glomeraceae;Rhizophagus irregularis;228960
